    76,   19921128120900.,    3.90,   67.00,   28.97,  0.01069,  0.00005,    0.00,    0.33,    0.00,    3.80,    1.51,    0.64
    77,   19921128130100.,    4.31,   64.43,   29.20,  0.00719,  0.00005,    0.00,    0.36,    0.00,    3.80,    1.66,    0.64
    78,   19921128135200.,   16.16,  115.57,   32.15,  0.00512,  0.00011,    0.00,    0.57,    3.16,    3.78,    1.59,    0.90
    79,   19921128144400.,   14.02,  104.12,   31.91,  0.00415,  0.00010,    0.00,    0.55,    3.17,    3.83,    1.66,    0.86
    80,   19921128153500.,   16.30,  123.47,   31.89,  0.00660,  0.00012,    0.00,    0.57,    3.19,    3.90,    1.54,    0.91
    81,   19921128162600.,   18.46,  136.79,   31.91,  0.00840,  0.00013,    0.00,    0.58,    3.23,    3.99,    1.46,    0.94
    82,   19921128171800.,   18.81,  136.01,   31.89,  0.00901,  0.00013,    0.00,    0.57,    3.27,    4.11,    1.44,    0.95
    83,   19921128180900.,   16.94,  122.27,   31.91,  0.00663,  0.00012,    0.00,    0.56,    3.34,    4.25,    1.54,    0.91
    84,   19921128190100.,   19.67,  142.43,   32.04,  0.00907,  0.00014,    0.00,    0.58,    3.44,    4.39,    1.43,    0.96
    85,   19921128195200.,    2.28,   62.67,   28.82,  0.00697,  0.00004,    0.00,    0.35,    0.00,    4.39,    1.69,    0.59
    86,   19921128204400.,    1.91,   54.80,   28.83,  0.00414,  0.00004,    0.00,    0.34,    0.00,    4.39,    1.89,    0.56
    87,   19921128213500.,    3.20,   65.34,   29.11,  0.00561,  0.00005,    0.00,    0.29,    0.00,    4.39,    1.82,    0.62
    88,   19921128222600.,    5.97,   49.36,   29.28,  0.00290,  0.00004,    0.00,    0.24,    0.00,    4.39,    2.11,    0.66
    89,   19921128231800.,    5.47,   46.56,   29.31,  0.00253,  0.00004,    0.00,    0.21,    0.00,    4.39,    2.21,    0.64
    90,   19921129000900.,    4.91,   38.05,   29.40,  0.00090,  0.00004,    0.00,    0.18,    0.00,    4.39,    2.50,    0.61
    91,   19921129010100.,    6.08,   76.63,   29.24,  0.00973,  0.00006,    0.00,    0.25,    0.00,    4.39,    1.60,    0.70
    92,   19921129015200.,    5.93,   77.56,   29.14,  0.00911,  0.00006,    0.00,    0.27,    0.00,    4.39,    1.62,    0.70
    93,   19921129024400.,    2.83,   57.84,   29.17,  0.00464,  0.00004,    0.00,    0.24,    0.00,    4.39,    1.96,    0.59
    94,   19921129033500.,    1.74,   65.98,   29.10,  0.00641,  0.00004,    0.00,    0.27,    0.00,    4.39,    1.79,    0.58
    95,   19921129042600.,   -0.01,   67.69,   28.94,  0.00774,  0.00004,    0.00,    0.29,    0.00,    4.39,    1.70,    0.53
    96,   19921129051800.,    0.03,   60.06,   28.96,  0.00615,  0.00003,    0.00,    0.27,    0.00,    4.39,    1.81,    0.51
    97,   19921129060900.,    2.70,   51.91,   29.06,  0.00420,  0.00004,    0.00,    0.26,    0.00,    4.39,    1.98,    0.58
    98,   19921129070100.,   14.13,  104.09,   28.96,  0.01925,  0.00010,   27.40,    0.30,    0.00,    4.39,    1.23,    0.86
    99,   19921129075200.,   15.49,   86.57,   29.10,  0.00756,  0.00009,   32.84,    0.36,    0.00,    4.39,    1.62,    0.86
   100,   19921129091700.,    6.45,   78.27,   28.95,  0.00748,  0.00006,    0.00,    0.39,    0.00,    4.39,    1.62,    0.71
   101,   19921129100800.,    4.26,   91.24,   28.99,  0.01699,  0.00006,    0.00,    0.34,    0.00,    4.39,    1.29,    0.69
   102,   19921129110000.,    2.84,   76.36,   28.90,  0.01342,  0.00005,    0.00,    0.33,    0.00,    4.39,    1.41,    0.63
   103,   19921129115500.,    2.32,   64.65,   28.89,  0.00862,  0.00004,    0.00,    0.34,    0.00,    4.39,    1.61,    0.59
   104,   19921129124700.,    2.60,   65.90,   28.84,  0.00926,  0.00004,    0.00,    0.34,    0.00,    4.39,    1.57,    0.61
   105,   19921129133800.,   19.86,  135.77,   32.26,  0.00787,  0.00013,    0.00,    0.59,    3.45,    4.38,    1.47,    0.96
   106,   19921129142900.,   19.91,  135.97,   32.27,  0.00788,  0.00013,    0.00,    0.59,    3.46,    4.41,    1.47,    0.96
   107,   19921129153100.,   23.07,  154.04,   32.52,  0.00988,  0.00015,    0.00,    0.61,    3.49,    4.45,    1.39,    1.00
   108,   19921129163800.,   26.51,  180.13,   32.50,  0.01445,  0.00018,    0.00,    0.61,    3.54,    4.54,    1.26,    1.05
   109,   19921129173000.,   29.55,  193.12,   32.50,  0.01807,  0.00019,    0.00,    0.59,    3.60,    4.64,    1.18,    1.09
   110,   19921129182100.,   27.13,  184.24,   32.51,  0.01531,  0.00018,    0.00,    0.59,    3.68,    4.76,    1.24,    1.06
   111,   19921129191300.,   27.03,  181.16,   32.66,  0.01370,  0.00018,    0.00,    0.61,    3.85,    4.87,    1.28,    1.06
   112,   19921129200400.,    5.83,   86.28,   29.03,  0.01393,  0.00006,    0.00,    0.32,    0.00,    4.87,    1.39,    0.71
   113,   19921129205500.,    3.78,   80.80,   29.02,  0.01146,  0.00006,    0.00,    0.33,    0.00,    4.87,    1.48,    0.66
   114,   19921129214700.,    3.85,   71.63,   29.04,  0.00828,  0.00005,    0.00,    0.31,    0.00,    4.87,    1.64,    0.65
   115,   19921129223800.,    4.50,   73.00,   29.08,  0.00835,  0.00005,    0.00,    0.29,    0.00,    4.87,    1.65,    0.66
   116,   19921129233000.,    4.80,   73.87,   29.04,  0.00839,  0.00005,    0.00,    0.27,    0.00,    4.87,    1.66,    0.67
